code,ticker,name,price,ma50,ma150,ma200,market_cap,avg_dollar_volume_5d,price_to_52w_low_pct,price_to_52w_high_pct,estimated_52w_low,estimated_52w_high,price_above_ma50_pct,ma50_above_ma150_pct,ma150_above_ma200_pct,futu_filter_price_gt_ma50,futu_filter_ma50_gt_ma150,futu_filter_ma150_gt_ma200,futu_filter_gt_30_pct_above_52w_low,futu_filter_market_cap_gte_min,futu_filter_avg_dollar_volume_5d_gte_min,futu_filter_within_25_pct_of_52w_high
US.BFC,BFC,Bank First,141.535,139.444,133.696,131.235,1579979124,45263614.08,31.643,-7.143,107.5142621,152.4225422,1.499526692,4.299305888,1.875261935,True,True,True,True,True,True,True
US.BFH,BFH,Bread Financial,86.07,80.218,73.241,70.056,3477836085,187905248.5,76.831,-13.174,48.6735923,99.12929307,7.295120796,9.526085116,4.54636291,True,True,True,True,True,True,True
US.BHE,BHE,Benchmark Electronics,84.29,65.688,53.69,49.993,3024075364,147614005.3,147.59,-3.921,34.04418595,87.72988895,28.31871879,22.34680574,7.395035305,True,True,True,True,True,True,True
US.BHP,BHP,必和必拓,84.3,76.403,66.638,63.125,2.141510913e+11,1258404618,92.081,-7.818,43.88773486,91.44952377,10.33598157,14.65380113,5.565148515,True,True,True,True,True,True,True
US.BIIB,BIIB,渤健公司,191.46,185.359,177.006,167.713,2.826660242e+10,1454666615,58.166,-7.044,121.050036,205.9684152,3.291450644,4.719049072,5.541013517,True,True,True,True,True,True,True
US.BIP,BIP,Brookfield基础设施,37.985,36.591,35.65,34.359,1.747338895e+10,125861064.1,33.031,-5.791,28.55349505,40.31992697,3.809679976,2.639551192,3.757385256,True,True,True,True,True,True,True
US.BK,BK,纽约梅隆银行,136.685,125.784,118.019,114.398,9.381771977e+10,1976018433,59.31,-1.381,85.79812943,138.5990529,8.666444063,6.579449072,3.165265127,True,True,True,True,True,True,True
US.BKR,BKR,Baker Hughes,64.45,62.348,54.851,52.473,6.393882752e+10,1749754604,82.982,-8.158,35.2220437,70.17486553,3.371399243,13.66793677,4.531854478,True,True,True,True,True,True,True
US.BKSY,BKSY,BlackSky Technology,40.76,31.946,24.789,23.471,1512563900,563889130.4,312.702,-8.814,9.87637569,44.69984427,27.59030865,28.87167695,5.615440331,True,True,True,True,True,True,True
US.BLDP,BLDP,巴拉德动力系统,3.985,2.997,2.849,2.713,1201381258,204584928.8,221.37,-18.004,1.240003734,4.85999317,32.96629963,5.194805195,5.012900848,True,True,True,True,True,True,True
