code,ticker,name,price,ma50,ma150,ma200,price_to_52w_low_pct,price_to_52w_high_pct,estimated_52w_low,estimated_52w_high,price_above_ma50_pct,ma50_above_ma150_pct,ma150_above_ma200_pct,futu_filter_price_gt_ma50,futu_filter_ma50_gt_ma150,futu_filter_ma150_gt_ma200,futu_filter_gt_30_pct_above_52w_low,futu_filter_within_25_pct_of_52w_high
US.ANL,ANL,阿诺医药,14.05,11.212,6.053,4.962,1499.134,-18.55,0.8786005425,17.24984653,25.31216554,85.23046423,21.98710198,True,True,True,True,True
US.AP,AP,安博科-匹兹堡,11.31,9.009,6.033,5.218,546.138,-8.048,1.750400069,12.2998956,25.54112554,49.32869219,15.61901112,True,True,True,True,True
US.APEMY,APEMY,APERAM SA NY REGISTRY SHS,55,45.474,42.162,39.107,97.57,-3.508,27.83823455,56.999544,20.94823416,7.855414829,7.811900683,True,True,True,True,True
US.APG,APG,APi Group,43.98,43.784,41.014,39.526,46.599,-12.022,30.00020464,49.98977017,0.4476521104,6.753791388,3.764610636,True,True,True,True,True
US.APGE,APGE,Apogee Therapeutics,83.8,81.219,72.466,63.809,143.651,-12.217,34.39345621,95.46267501,3.177827848,12.07876797,13.56705167,True,True,True,True,True
US.APLD,APLD,Applied Digital,46.63,30.973,30.927,27.71,636.65,-2.427,6.330007466,47.7898599,50.55047945,0.1487373492,11.60952725,True,True,True,True,True
US.APLE,APLE,Apple Hospitality REIT,14.04,12.481,11.863,11.808,34.645,-1.082,10.42742025,14.19357448,12.4909863,5.209474838,0.4657859079,True,True,True,True,True
US.APLO,APLO,APOLLO BANCORP INC,55,46.116,39.282,37.839,54.593,0,35.57729005,55,19.26446353,17.3972812,3.813525727,True,True,True,True,True
US.APLS,APLS,Apellis Pharmaceuticals,41.03,32.781,26.259,25.968,147.019,-0.267,16.61005834,41.13984338,25.16396693,24.83719867,1.120609982,True,True,True,True,True
US.APNHY,APNHY,ASPEN PHARMACARE HLDGS UNSP ADR EACH REP 1 ORD ZAR0.13906,8.815,8.158,6.91,6.672,71.959,-0.507,5.126221948,8.859919793,8.053444472,18.06078148,3.567146283,True,True,True,True,True
US.APT,APT,Alpha Pro Tech,5.945,4.877,4.787,4.785,39.882,-20.733,4.250010723,7.499968461,21.89870822,1.880091916,0.04179728318,True,True,True,True,True
US.APTL,APTL,ALASKA POWER & TELEPHONE CO,74.5,67.484,60.245,58.317,44.368,-0.666,51.60423363,74.99949665,10.39653844,12.01593493,3.306068556,True,True,True,True,True
US.APTOF,APTOF,Aptose Biosciences. Inc.,1.712,1.672,1.573,1.484,169.055,-9.417,0.636301128,1.889979356,2.392344498,6.293706294,5.997304582,True,True,True,True,True
US.APYX,APYX,Apyx Medical,4.28,3.672,3.67,3.281,220.599,-4.888,1.335001045,4.499957944,16.5577342,0.05449591281,11.85614142,True,True,True,True,True
US.AQNA,AQNA,Algonquin Power & Utilities Corp 6.875% Fix To Flt Rat Sub Nts Ser 2018 A,25.1,24.939,23.975,23.692,37.413,-0.858,18.26610292,25.31722176,0.6455752035,4.020855057,1.194496032,True,True,True,True,True
US.ARBV,ARBV,AMERICAN RIVIERA BANCORP,26.24,25.539,23.353,22.466,43.231,-7.213,18.32005641,28.27982368,2.744821645,9.360681711,3.948188374,True,True,True,True,True
US.ARCB,ARCB,ArcBest,116.845,106.373,89.753,85.264,97.02,-13.427,59.30616181,134.9670221,9.844603424,18.51748688,5.264824545,True,True,True,True,True
US.ARIS,ARIS,Aris Mining,20.08,18.956,16.546,14.559,252.899,-13.782,5.69001329,23.28980027,5.929520996,14.56545389,13.64791538,True,True,True,True,True
US.ARKO,ARKO,ARKO Corp,7.145,6.002,5.294,5.144,94.911,-2.656,3.665775662,7.339949047,19.04365212,13.37363053,2.916018663,True,True,True,True,True
US.ARM,ARM,Arm Holdings,225.425,165.978,143.931,143.785,125.494,-5.828,99.96940052,239.375823,35.81619251,15.31775642,0.1015404945,True,True,True,True,True
US.ARMK,ARMK,Aramark,52.49,43.212,40.064,39.769,50.611,-1.464,34.85137208,53.26987091,21.47088772,7.857428115,0.7417838015,True,True,True,True,True
US.ARNNY,ARNNY,ASR NEDERLAND NV UNSPN ADR EACH REP 0.5 ORD SHS,39.931,35.94,35.204,34.993,73.245,0,23.04886144,39.931,11.10461881,2.090671515,0.6029777384,True,True,True,True,True
US.AROC,AROC,Archrock,36.95,36.182,29.892,28.4,78.253,-7.334,20.72896389,39.87438759,2.122602399,21.04241938,5.253521127,True,True,True,True,True
US.AROW,AROW,箭牌金融,35.85,34.668,32.139,31.013,51.38,-5.098,23.68212446,37.77581084,3.409484251,7.868944273,3.630735498,True,True,True,True,True
US.ARR,ARR,Armour住宅房产信托,17.485,17.037,16.547,15.824,37.941,-5.666,12.67570918,18.5352047,2.629570934,2.96126186,4.5690091,True,True,True,True,True
US.ARTV,ARTV,Artiva Biotherapeutics,10.98,8.311,5.538,4.866,646.938,-24.432,1.470001526,14.52995977,32.1140657,50.07222824,13.81011097,True,True,True,True,True
US.ARW,ARW,艾睿,211.73,164.28,136.272,133.036,108.262,-1.708,101.6652102,215.4091889,28.88361334,20.55301162,2.432424306,True,True,True,True,True
US.ARWR,ARWR,Arrowhead Pharmaceuticals,79.56,66.206,59.884,51.331,456.359,-2.975,14.30011917,81.99948467,20.17037731,10.55707702,16.6624457,True,True,True,True,True
US.ARZGY,ARZGY,GENERALI SPA UNSP ADR EACH REPR 0.50 ORD,22.904,20.999,20.358,20.119,33.782,-1.532,17.12038989,23.26034854,9.071860565,3.148639356,1.187931806,True,True,True,True,True
US.ASC,ASC,Ardmore Shipping,18.86,16.215,13.625,13.09,109.556,-5.817,8.999980912,20.02484525,16.31205674,19.00917431,4.087089381,True,True,True,True,True
US.ASGLY,ASGLY,艾杰旭化工(ADR),7.58,7.172,7.066,6.892,39.594,-14.01,5.430032809,8.814978486,5.688789738,1.500141523,2.52466628,True,True,True,True,True
US.ASMIY,ASMIY,ASM INTERNATIONAL NV SPON ADR EACH REP 1 ORD SHS,1045.31,877.117,751.989,694.984,126.174,-1.477,462.1707181,1060.980685,19.175663,16.6396051,8.202347104,True,True,True,True,True
US.ASML,ASML,阿斯麦,1597.43,1412.739,1258.816,1148.776,134.958,-0.377,679.8789571,1603.475101,13.07325699,12.22760117,9.578890924,True,True,True,True,True
US.ASMVY,ASMVY,ASM太平洋(ADR),65.995,49.894,39.365,36.51,238.827,-7.206,19.47749146,71.11989999,32.27041328,26.74711038,7.819775404,True,True,True,True,True
US.ASND,ASND,Ascendis Pharma A/S,243.74,231.746,219.517,213.375,58.798,-2.791,153.4905981,250.7381004,5.17549386,5.570866949,2.878500293,True,True,True,True,True
US.ASPU,ASPU,Aspen Group,0.346,0.262,0.176,0.152,669.777,-15.512,0.04494808237,0.4095256131,32.0610687,48.86363636,15.78947368,True,True,True,True,True
US.ASRT,ASRT,Assertio,23.32,17.541,13.476,13.195,170.847,-0.171,8.610027063,23.35994551,32.94567014,30.16473731,2.129594543,True,True,True,True,True
US.ASRV,ASRV,AmeriServ Financial,3.81,3.736,3.382,3.251,59.402,-4.974,2.39018331,4.009428998,1.980728051,10.46717918,4.029529376,True,True,True,True,True
US.ASX,ASX,日月光半导体,35.365,26.463,20.247,17.835,296.926,-0.966,8.909721207,35.7099582,33.63942108,30.70084457,13.52396972,True,True,True,True,True
US.ASYS,ASYS,Amtech Systems,22.095,15.048,12.421,11.096,513.409,-7.552,3.602001275,23.89992212,46.83014354,21.14966589,11.94124009,True,True,True,True,True
US.ATCC,ATCC,AMERITRUST CORP,0,0,0,0,9900,0,0,0,,,,True,True,True,True,True
US.ATEAY,ATEAY,ATEA ASA UNSPON ADS EACH REP ORD SHS,9.27,7.974,6.983,6.836,75.246,0,5.28970704,9.27,16.25282167,14.19160819,2.150380339,True,True,True,True,True
US.ATEN,ATEN,A10 Networks,28.01,24.625,20.2,19.569,70.053,-2.028,16.47133541,28.58980117,13.74619289,21.90594059,3.22448771,True,True,True,True,True
US.ATEX,ATEX,Anterix,56.215,42.843,30.25,28.196,219.766,-0.995,17.58004291,56.77996061,31.21163317,41.62975207,7.284721237,True,True,True,True,True
US.ATEYY,ATEYY,爱德万测试(ADR),181.49,163.844,148.005,132.545,286.395,-8.486,46.97006949,198.3193828,10.77000073,10.70166548,11.66396318,True,True,True,True,True
